rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,AD,7.5008,8.4507,4.8887,10.0,6.0,9.5156,5.0,52.52,"Exceptional balance of high fundamentals (9.5) and strong momentum/volume, mitigating risk.",20260512_003050
2,GEN,7.3386,10.0,0.7026,10.0,6.0,8.5549,7.0,22.4,High momentum and news combined with strong fundamentals (8.6) makes for high conviction.,20260512_003050
3,MRNA,7.3023,8.1428,6.7416,10.0,6.0,6.75,5.0,52.88,"Solid performance across all signals, particularly high volume (6.7) and news catalyst.",20260512_003050
4,RKLB,7.1138,10.0,3.0087,10.0,6.0,6.75,5.0,117.35,Excellent momentum and news combined with respectable fundamentals (6.8).,20260512_003050
5,ASTS,6.7843,8.6454,2.6183,10.0,6.0,6.75,5.0,82.55,Strong momentum and social/fundamentals scores provide a balanced risk profile.,20260512_003050
6,PLUS,6.7618,7.7447,2.3216,10.0,6.0,8.0976,5.0,89.0,High fundamentals (8.1) paired with strong momentum and news catalyst.,20260512_003050
7,TWO,6.7861,6.088,6.0398,10.0,6.0,6.75,5.0,12.62,Decent volume and social engagement support the high news catalyst.,20260512_003050
8,FORM,6.6058,8.5799,1.8957,10.0,6.0,6.37,5.0,151.4,Strong momentum and good fundamentals (6.4) suggest underlying strength.,20260512_003050
9,GLW,6.662,10.0,1.9966,10.0,4.8,5.95,5.0,207.39,Decent volume and fundamentals provide a stable base despite moderate social score.,20260512_003050
10,WDC,6.7109,9.128,0.7094,10.0,6.0,7.5259,5.0,515.83,High momentum and strong fundamentals (7.5) suggest institutional interest.,20260512_003050
11,ASM,6.3533,8.7863,1.3715,10.0,4.8,6.1355,5.0,7.52,Strong momentum and decent fundamentals (6.1) provide a solid technical setup.,20260512_003050
12,LASR,6.4715,9.884,2.4813,10.0,2.4,6.75,5.0,84.95,Near-perfect momentum (9.9) combined with a clear news catalyst.,20260512_003050
13,AG,6.603,10.0,2.3035,10.0,4.8,5.25,5.0,23.58,High momentum and decent volume suggest growing market interest.,20260512_003050
14,PLUG,6.5501,7.58,3.6112,10.0,6.0,5.616,5.0,3.52,"High volume and momentum suggest strong retail interest, despite lower fundamentals.",20260512_003050
15,DELL,6.1425,9.8992,1.9219,10.0,0.0,7.4955,5.0,247.04,"High volume and news catalyst, making it a strong candidate despite low social score.",20260512_003050
16,IX,6.1347,10.0,1.6743,10.0,0.0,7.5573,5.0,36.74,High volume and decent fundamentals suggest institutional interest and stability.,20260512_003050
17,DRTS,7.36,10.0,10.0,10.0,2.4,5.0,5.0,10.34,"Exceptional momentum and volume, making it a high-risk, high-reward play despite low fundamentals.",20260512_003050
18,RDW,6.3948,10.0,1.8156,10.0,2.4,6.75,5.0,12.16,"Solid momentum and fundamentals, making it a reliable mid-cap pick.",20260512_003050
19,PAAS,6.1432,10.0,0.7599,10.0,0.0,8.528,5.0,62.29,High fundamentals and momentum suggest underlying value and positive sentiment.,20260512_003050
20,STX,6.2661,8.3396,0.7279,10.0,4.8,6.7935,5.0,834.01,"Highest remaining composite score with decent fundamentals, indicating potential breakout.",20260512_003050
