rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,WEST,7.6988,10.0,8.3048,10.0,4.8,6.554,5.0,8.75,Composite score ranking (--no-llm),20260511_233432
2,AD,7.3739,8.4507,4.0426,10.0,6.0,9.5156,5.0,52.52,Composite score ranking (--no-llm),20260511_233432
3,DRTS,7.36,10.0,10.0,10.0,2.4,5.0,5.0,10.34,Composite score ranking (--no-llm),20260511_233432
4,LQDA,7.2625,10.0,10.0,10.0,0.0,6.75,5.0,53.13,Composite score ranking (--no-llm),20260511_233432
5,BTBT,7.2289,10.0,4.6547,10.0,6.0,5.8715,5.0,2.15,Composite score ranking (--no-llm),20260511_233432
6,MU,6.9601,10.0,1.5462,10.0,6.0,7.1877,5.0,795.33,Composite score ranking (--no-llm),20260511_233432
7,PLUS,6.7592,7.7447,2.3039,10.0,6.0,8.0976,5.0,89.0,Composite score ranking (--no-llm),20260511_233432
8,RUN,6.7055,7.956,0.0,10.0,6.0,9.762,5.0,14.47,Composite score ranking (--no-llm),20260511_233432
9,HUT,6.6977,10.0,0.2343,10.0,6.0,6.75,5.0,102.19,Composite score ranking (--no-llm),20260511_233432
10,AMD,6.636,10.0,0.0,10.0,6.0,6.573,5.0,458.79,Composite score ranking (--no-llm),20260511_233432
11,SMCI,6.6193,9.0467,0.0795,10.0,4.8,8.8537,5.0,33.52,Composite score ranking (--no-llm),20260511_233432
12,FORM,6.5993,8.5799,1.852,10.0,6.0,6.37,5.0,151.4,Composite score ranking (--no-llm),20260511_233432
13,CRCL,6.5954,6.7917,5.6801,10.0,2.4,8.5,5.0,131.76,Composite score ranking (--no-llm),20260511_233432
14,ANY,6.5789,10.0,1.0839,10.0,6.0,5.1085,5.0,1.98,Composite score ranking (--no-llm),20260511_233432
15,QCOM,6.5437,10.0,2.1479,10.0,3.6,6.2099,5.0,237.53,Composite score ranking (--no-llm),20260511_233432
16,OR,6.5391,8.6161,0.0,10.0,6.0,7.7724,5.0,39.8,Composite score ranking (--no-llm),20260511_233432
17,CDE,6.5,8.1161,0.274,10.0,4.8,9.1048,5.0,19.8,Composite score ranking (--no-llm),20260511_233432
18,AU,6.4807,10.0,0.0246,10.0,2.4,9.1137,5.0,108.34,Composite score ranking (--no-llm),20260511_233432
19,MASS,6.4714,10.0,0.0,10.0,6.0,5.476,5.0,7.93,Composite score ranking (--no-llm),20260511_233432
20,LASR,6.4705,9.884,2.4747,10.0,2.4,6.75,5.0,84.95,Composite score ranking (--no-llm),20260511_233432
