rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,DXYZ,7.8071,10.0,8.6434,10.0,6.0,5.7373,5.0,53.4,Composite score ranking (LLM output malformed),20260513_084440
2,WEST,7.4706,10.0,5.5832,10.0,6.0,6.554,5.0,8.65,Composite score ranking (LLM output malformed),20260513_084440
3,PACS,7.2486,10.0,10.0,10.0,0.0,6.6576,5.0,41.01,Composite score ranking (LLM output malformed),20260513_084440
4,SONY,6.9836,10.0,2.1264,10.0,6.0,3.7642,8.0,22.16,Composite score ranking (LLM output malformed),20260513_084440
5,AGI,6.8822,9.5291,0.0,10.0,6.0,8.8424,5.0,44.47,Composite score ranking (LLM output malformed),20260513_084440
6,HLIO,6.8179,10.0,7.9481,10.0,0.0,5.838,5.0,77.57,Composite score ranking (LLM output malformed),20260513_084440
7,UNH,6.672,8.7554,0.3167,10.0,4.8,4.3559,10.0,396.39,Composite score ranking (LLM output malformed),20260513_084440
8,GLW,6.6445,10.0,1.8798,10.0,4.8,5.95,5.0,198.24,Composite score ranking (LLM output malformed),20260513_084440
9,PANW,6.5107,10.0,0.5667,10.0,2.4,5.7715,8.0,215.6,Composite score ranking (LLM output malformed),20260513_084440
10,NVDA,6.4913,10.0,0.1087,10.0,6.0,7.0,3.5,220.78,Composite score ranking (LLM output malformed),20260513_084440
11,BTI,6.4221,10.0,2.7534,10.0,2.4,5.9938,5.0,63.64,Composite score ranking (LLM output malformed),20260513_084440
12,MRNA,6.3989,8.7551,1.1025,10.0,4.8,6.75,5.0,53.27,Composite score ranking (LLM output malformed),20260513_084440
13,ASTS,6.3918,7.4776,1.5582,10.0,6.0,6.75,5.0,72.96,Composite score ranking (LLM output malformed),20260513_084440
14,AU,6.3708,9.3997,0.0039,10.0,2.4,9.202,5.0,104.33,Composite score ranking (LLM output malformed),20260513_084440
15,MA,6.3291,5.4255,0.0,10.0,6.0,5.6269,10.0,499.81,Composite score ranking (LLM output malformed),20260513_084440
16,NSIT,6.3198,10.0,0.0,10.0,0.0,7.4653,8.0,87.02,Composite score ranking (LLM output malformed),20260513_084440
17,RUN,6.3162,6.0095,0.0,10.0,6.0,9.762,5.0,14.1,Composite score ranking (LLM output malformed),20260513_084440
18,FLNC,6.277,10.0,2.5105,10.0,2.4,5.2695,5.0,21.28,Composite score ranking (LLM output malformed),20260513_084440
19,LUNR,6.2417,9.6834,0.0,10.0,6.0,4.3665,5.0,32.09,Composite score ranking (LLM output malformed),20260513_084440
20,OGC,6.2409,10.0,0.0,10.0,0.0,9.9392,5.0,34.13,Composite score ranking (LLM output malformed),20260513_084440
21,CARE,6.226,5.3465,0.0449,10.0,6.0,10.0,5.0,26.17,Composite score ranking (LLM output malformed),20260513_084440
22,UBER,6.2134,7.6168,0.0185,10.0,6.0,3.9153,8.0,76.36,Composite score ranking (LLM output malformed),20260513_084440
23,SAFE,6.1825,7.5379,0.0,10.0,6.0,6.8325,5.0,15.23,Composite score ranking (LLM output malformed),20260513_084440
24,HL,6.1808,10.0,1.1243,10.0,2.4,6.0141,5.0,20.57,Composite score ranking (LLM output malformed),20260513_084440
25,RZLV,6.1638,7.6939,3.3503,10.0,2.4,6.75,5.0,2.81,Composite score ranking (LLM output malformed),20260513_084440
26,LINK,6.1568,8.9022,0.0,10.0,6.0,4.8425,5.0,3.365,Composite score ranking (LLM output malformed),20260513_084440
27,BTG,6.1564,10.0,0.0,10.0,0.0,9.3763,5.0,5.38,Composite score ranking (LLM output malformed),20260513_084440
28,TD,6.1372,6.8136,0.0,10.0,4.8,8.6965,5.0,107.76,Composite score ranking (LLM output malformed),20260513_084440
29,HUM,6.1299,10.0,1.4044,10.0,0.0,4.7949,8.0,295.35,Composite score ranking (LLM output malformed),20260513_084440
30,RDW,6.1225,10.0,0.0,10.0,2.4,6.75,5.0,11.56,Composite score ranking (LLM output malformed),20260513_084440
31,CF,6.1169,5.6508,0.2443,10.0,6.0,8.667,5.0,130.39,Composite score ranking (LLM output malformed),20260513_084440
32,PS,6.0525,5.0,5.0,10.0,3.6,6.75,5.0,50.83,Composite score ranking (LLM output malformed),20260513_084440
33,PM,6.0213,10.0,1.5569,10.0,2.4,4.5184,5.0,186.93,Composite score ranking (LLM output malformed),20260513_084440
