rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,WEST,7.6988,10.0,8.3048,10.0,4.8,6.554,5.0,8.75,Composite score ranking (--no-llm),20260511_234335
2,AD,7.3739,8.4507,4.0426,10.0,6.0,9.5156,5.0,52.52,Composite score ranking (--no-llm),20260511_234335
3,DRTS,7.36,10.0,10.0,10.0,2.4,5.0,5.0,10.34,Composite score ranking (--no-llm),20260511_234335
4,INOD,7.3,10.0,10.0,10.0,0.0,7.0,5.0,103.83,Composite score ranking (--no-llm),20260511_234335
5,RKLB,7.0971,10.0,2.8975,10.0,6.0,6.75,5.0,117.35,Composite score ranking (--no-llm),20260511_234335
6,LQDA,7.0375,10.0,10.0,10.0,0.0,5.25,5.0,53.13,Composite score ranking (--no-llm),20260511_234335
7,CARE,6.9583,8.1676,1.1654,10.0,6.0,10.0,5.0,26.57,Composite score ranking (--no-llm),20260511_234335
8,KEEL,6.9402,10.0,2.2119,10.0,6.0,6.3895,5.0,4.3,Composite score ranking (--no-llm),20260511_234335
9,HBM,6.9123,10.0,0.0,10.0,6.0,8.4151,5.0,25.5,Composite score ranking (--no-llm),20260511_234335
10,POET,6.8392,10.0,1.1783,10.0,6.0,6.75,5.0,13.9,Composite score ranking (--no-llm),20260511_234335
11,SONY,6.8063,10.0,3.8495,10.0,6.0,3.8592,5.0,21.29,Composite score ranking (--no-llm),20260511_234335
12,PLUS,6.7592,7.7447,2.3039,10.0,6.0,8.0976,5.0,89.0,Composite score ranking (--no-llm),20260511_234335
13,TH,6.7359,9.5969,6.1216,10.0,2.4,5.2555,5.0,18.08,Composite score ranking (--no-llm),20260511_234335
14,NVDA,6.7154,10.0,0.1026,10.0,6.0,7.0,5.0,219.44,Composite score ranking (--no-llm),20260511_234335
15,RUN,6.7055,7.956,0.0,10.0,6.0,9.762,5.0,14.47,Composite score ranking (--no-llm),20260511_234335
16,WDC,6.6846,9.128,0.5343,10.0,6.0,7.5259,5.0,515.83,Composite score ranking (--no-llm),20260511_234335
17,ASTS,6.6666,8.6454,1.8337,10.0,6.0,6.75,5.0,82.55,Composite score ranking (--no-llm),20260511_234335
18,GLW,6.661,10.0,1.9898,10.0,4.8,5.95,5.0,207.39,Composite score ranking (--no-llm),20260511_234335
19,SMCI,6.6193,9.0467,0.0795,10.0,4.8,8.8537,5.0,33.52,Composite score ranking (--no-llm),20260511_234335
20,FORM,6.5993,8.5799,1.852,10.0,6.0,6.37,5.0,151.4,Composite score ranking (--no-llm),20260511_234335
