rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,AD,7.3739,8.4507,4.0426,10.0,6.0,9.5156,5.0,52.52,Composite score ranking (--no-llm),20260511_233200
2,MRNA,7.2207,8.1428,6.1977,10.0,6.0,6.75,5.0,52.88,Composite score ranking (--no-llm),20260511_233200
3,RKLB,7.0971,10.0,2.8975,10.0,6.0,6.75,5.0,117.35,Composite score ranking (--no-llm),20260511_233200
4,LQDA,7.0375,10.0,10.0,10.0,0.0,5.25,5.0,53.13,Composite score ranking (--no-llm),20260511_233200
5,HBM,6.9123,10.0,0.0,10.0,6.0,8.4151,5.0,25.5,Composite score ranking (--no-llm),20260511_233200
6,TWO,6.7497,6.088,5.7973,10.0,6.0,6.75,5.0,12.62,Composite score ranking (--no-llm),20260511_233200
7,HUT,6.6977,10.0,0.2343,10.0,6.0,6.75,5.0,102.19,Composite score ranking (--no-llm),20260511_233200
8,GLW,6.661,10.0,1.9898,10.0,4.8,5.95,5.0,207.39,Composite score ranking (--no-llm),20260511_233200
9,B,6.589,10.0,2.7077,10.0,0.0,9.5525,5.0,47.0,Composite score ranking (--no-llm),20260511_233200
10,P,6.5393,10.0,8.4284,10.0,0.0,3.5,5.0,87.34,Composite score ranking (--no-llm),20260511_233200
11,HL,6.5114,9.4145,1.7204,10.0,4.8,6.0033,5.0,20.67,Composite score ranking (--no-llm),20260511_233200
12,MASS,6.4714,10.0,0.0,10.0,6.0,5.476,5.0,7.93,Composite score ranking (--no-llm),20260511_233200
13,PLUG,6.4207,7.58,2.7488,10.0,6.0,5.616,5.0,3.52,Composite score ranking (--no-llm),20260511_233200
14,LINE,6.4021,10.0,0.0,10.0,6.0,5.014,5.0,39.32,Composite score ranking (--no-llm),20260511_233200
15,BETA,6.3987,7.6737,1.3432,10.0,6.0,6.75,5.0,18.59,Composite score ranking (--no-llm),20260511_233200
16,MNDY,6.38,4.8483,10.0,10.0,1.2,6.5359,5.0,76.91,Composite score ranking (--no-llm),20260511_233200
17,TSLA,6.3726,10.0,0.4735,10.0,6.0,4.3435,5.0,445.0,Composite score ranking (--no-llm),20260511_233200
18,ROAD,6.3707,7.8665,1.1884,10.0,6.0,6.461,5.0,135.45,Composite score ranking (--no-llm),20260511_233200
19,RDW,6.3614,10.0,1.5927,10.0,2.4,6.75,5.0,12.16,Composite score ranking (--no-llm),20260511_233200
20,AAPL,6.3391,9.5579,0.0,10.0,6.0,5.1833,5.0,292.68,Composite score ranking (--no-llm),20260511_233200
