rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,AD,7.5008,8.4507,4.8887,10.0,6.0,9.5156,5.0,52.52,Excellent balance of high news (10.0) and strong fundamentals (9.5) with solid momentum.,20260512_003456
2,CARE,7.0212,8.4659,1.1867,10.0,6.0,10.0,5.0,26.57,Perfect fundamentals (10.0) combined with high news and strong momentum.,20260512_003456
3,WYFI,7.9825,10.0,10.0,10.0,4.8,6.75,5.0,26.98,"Exceptional activity across the board, boasting 10.0 scores in momentum, volume, and news.",20260512_003456
4,MU,6.9726,10.0,1.6299,10.0,6.0,7.1877,5.0,795.33,"High momentum and news scores on a large-cap stock, despite low volume.",20260512_003456
5,ASTS,6.7843,8.6454,2.6183,10.0,6.0,6.75,5.0,82.55,Strong news catalyst (10.0) paired with solid momentum and fundamentals.,20260512_003456
6,PLUS,6.7618,7.7447,2.3216,10.0,6.0,8.0976,5.0,89.0,Good fundamentals (8.1) combined with high news and decent momentum.,20260512_003456
7,FORM,6.6058,8.5799,1.8957,10.0,6.0,6.37,5.0,151.4,"Solid momentum and news catalyst, supported by acceptable fundamentals.",20260512_003456
8,GLW,6.662,10.0,1.9966,10.0,4.8,5.95,5.0,207.39,"High momentum and news scores on a large-cap name, despite mediocre fundamentals.",20260512_003456
9,ANY,6.5802,10.0,1.0931,10.0,6.0,5.1085,5.0,1.98,High news and momentum scores make this attractive despite low fundamentals.,20260512_003456
10,AGI,6.5818,8.9015,0.0,10.0,4.8,8.8765,5.0,43.9,"Strong fundamentals (8.9) and news catalyst, mitigating the risk of zero volume.",20260512_003456
11,CDE,6.5012,8.1161,0.2818,10.0,4.8,9.1048,5.0,19.8,High news (10.0) and strong fundamentals (9.1) provide a solid foundation.,20260512_003456
12,DELL,6.1425,9.8992,1.9219,10.0,0.0,7.4955,5.0,247.04,"High volume and news catalyst, supported by decent fundamentals and momentum.",20260512_003456
13,AS,6.0747,5.7571,2.2412,10.0,6.0,6.2475,5.0,34.5,"Decent volume and news catalyst, maintaining a reasonable momentum score.",20260512_003456
14,POET,6.679,10.0,1.31,10.0,4.8,6.75,5.0,13.9,High activity (momentum/news) makes this a compelling short-term play.,20260512_003456
15,INOD,7.3,10.0,10.0,10.0,0.0,7.0,5.0,103.83,High activity (momentum/volume/news) suggests strong institutional interest despite zero social score.,20260512_003456
16,SONY,7.1067,10.0,3.8521,10.0,6.0,3.8592,7.0,21.29,High activity (momentum/news) suggests a potential bounce despite weak fundamentals.,20260512_003456
17,LINE,6.5235,10.0,0.8091,10.0,6.0,5.014,5.0,39.32,High news catalyst and strong momentum provide a clear short-term narrative.,20260512_003456
18,OR,6.2891,8.6161,0.0,8.75,6.0,7.7724,5.0,39.8,"Decent news and fundamentals, offering a balanced profile with low volume risk.",20260512_003456
19,ASM,6.3533,8.7863,1.3715,10.0,4.8,6.1355,5.0,7.52,"Solid momentum and news catalyst, making it a reliable technical play.",20260512_003456
20,AU,6.4808,10.0,0.0247,10.0,2.4,9.1137,5.0,108.34,"High fundamentals (9.1) and momentum, suggesting underlying value despite zero volume.",20260512_003456
