rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,WEST,7.6988,10.0,8.3048,10.0,4.8,6.554,5.0,8.75,Composite score ranking (--no-llm),20260511_234814
2,AD,7.3739,8.4507,4.0426,10.0,6.0,9.5156,5.0,52.52,Composite score ranking (--no-llm),20260511_234814
3,GEN,7.3294,10.0,0.6413,10.0,6.0,8.5549,7.0,22.4,Composite score ranking (--no-llm),20260511_234814
4,BTBT,7.2289,10.0,4.6547,10.0,6.0,5.8715,5.0,2.15,Composite score ranking (--no-llm),20260511_234814
5,MRNA,7.2207,8.1428,6.1977,10.0,6.0,6.75,5.0,52.88,Composite score ranking (--no-llm),20260511_234814
6,SONY,7.1063,10.0,3.8495,10.0,6.0,3.8592,7.0,21.29,Composite score ranking (--no-llm),20260511_234814
7,RKLB,7.0971,10.0,2.8975,10.0,6.0,6.75,5.0,117.35,Composite score ranking (--no-llm),20260511_234814
8,P,6.8393,10.0,8.4284,10.0,0.0,3.5,7.0,87.34,Composite score ranking (--no-llm),20260511_234814
9,POET,6.8392,10.0,1.1783,10.0,6.0,6.75,5.0,13.9,Composite score ranking (--no-llm),20260511_234814
10,NSIT,6.7138,10.0,3.6589,10.0,0.0,7.4329,7.0,88.23,Composite score ranking (--no-llm),20260511_234814
11,RUN,6.7055,7.956,0.0,10.0,6.0,9.762,5.0,14.47,Composite score ranking (--no-llm),20260511_234814
12,WDC,6.6846,9.128,0.5343,10.0,6.0,7.5259,5.0,515.83,Composite score ranking (--no-llm),20260511_234814
13,ASTS,6.6666,8.6454,1.8337,10.0,6.0,6.75,5.0,82.55,Composite score ranking (--no-llm),20260511_234814
14,CRCL,6.5954,6.7917,5.6801,10.0,2.4,8.5,5.0,131.76,Composite score ranking (--no-llm),20260511_234814
15,AU,6.4807,10.0,0.0246,10.0,2.4,9.1137,5.0,108.34,Composite score ranking (--no-llm),20260511_234814
16,LASR,6.4705,9.884,2.4747,10.0,2.4,6.75,5.0,84.95,Composite score ranking (--no-llm),20260511_234814
17,PLUG,6.4207,7.58,2.7488,10.0,6.0,5.616,5.0,3.52,Composite score ranking (--no-llm),20260511_234814
18,LINE,6.4021,10.0,0.0,10.0,6.0,5.014,5.0,39.32,Composite score ranking (--no-llm),20260511_234814
19,MNDY,6.38,4.8483,10.0,10.0,1.2,6.5359,5.0,76.91,Composite score ranking (--no-llm),20260511_234814
20,ROAD,6.3707,7.8665,1.1884,10.0,6.0,6.461,5.0,135.45,Composite score ranking (--no-llm),20260511_234814
